CPF_CNPJ,Razão Social,Nome Fantasia,Porte,N.Colaborador,Dt.Fundação,CEP,UF,Cidade,Bairro,Endereço,Número,Complemento,Latitude,Longitude,Mapa,Email,Telefone,Celular,Comercial,Fax,Cód de Natureza Juridica,CNAE,Setor,Atividade,Total Clientes,Total Part./Contatos,Total Realizações,Total Horas de Consultoria,Situação no ICMS,Data de Cancelamento no ICMS
4707260000152,AGTS-CONSULTORIA EM INFORMATICA LTDA,-,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",4,09/2001,80710130,PR,CURITIBA,MERCÊS,RUA PEDRO NOLASKO PIZZATTO,32,-,-,-,-,aamelo@yahoo.com,4130193502,-,4130193502,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
12028803000133,"VAR3F, CONSULTORIA INFORMATICA E SISTEMAS LTDA",ABACO CONSULTORES,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",40,05/2010,87302190,PR,CAMPO MOURÃO,CENTRO,RUA PREFEITO DEVETE DE PAULA XAVIER,829,- FUNDOS,-,-,-,abaco@abaco-consultores.com,1130442472,-,1130442472,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
4215598000197,INFOSOFT - CONSULTORIA E ASSESSORIA EM INFORMATICA S/C LTDA,INFOSOFT,MICRO - ATÉ R$360 MIL/ANO,0,12/2000,82800100,PR,CURITIBA,TARUMÃ,RUA GOVERNADOR AGAMENON MAGALHAES,894,-,"-25,4356336","-49,2301156","Ver Mapa<url>https://www.google.com/maps?q=-25.4356336,-49.2301156",abage@conduspar.com.br,4133450964,-,4133450964,-,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
4807302000127,CONFIANCA SOLUCOES EM INFORMATICA LTDA,CONFIANCA SOLUCOES EM INFORMATICA,MICRO - ATÉ R$360 MIL/ANO,1,12/2001,82900200,PR,CURITIBA,CAJURU,RUA EROS JOSE ALVES,80,SOBRADO 6,"-25,442028","-49,2188896","Ver Mapa<url>https://www.google.com/maps?q=-25.442028,-49.2188896",abimael_oliveira@hotmail.com,4130252665,-,4130252665,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,3,0,0,Registro Não Encontrado,
7823397000160,DTX SOLUCOES INTELIGENTES EM GESTAO E TECNOLOGIAS LTDA,DTX SISTEMAS,MICRO - ATÉ R$360 MIL/ANO,2,01/2006,86010470,PR,LONDRINA,CENTRO,RUA SANTA CATARINA,50,23 and sl 2304,"-23,3122147","-51,1571146","Ver Mapa<url>https://www.google.com/maps?q=-23.3122147,-51.1571146",abner@dtx.com.br,43991937744,43991937744,4333272455,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,11,0,Registro Não Encontrado,
4578678000107,GREEN DREAM - INFORMATICA E ENTRETENIMENTO LTDA,-,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,07/2001,80030001,PR,CURITIBA,JUVEVÊ,AVENIDA JOAO GUALBERTO,1673,- LOJA 02,-,-,-,ac1cara@yahoo.com.br,4132247272,-,4132247272,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,3,0,0,Registro Não Encontrado,
5103161000124,ADC - ENTRETENIMENTOS LTDA,ADC - ENTRETENIMENTOS,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,06/2002,80030001,PR,CURITIBA,JUVEVÊ,AVENIDA JOAO GUALBERTO,1673,- LOJA 03,-,-,-,ac1cara@yahoo.com.br,0,-,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
3374701000189,RCA COMUNICACAO E PARTICIPACAO S/C LTDA,-,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",5,09/1999,86020080,PR,LONDRINA,CENTRO,AVENIDA HIGIENOPOLIS,32N,-,-,-,-,acerteoalvo@gmail.com,0,-,-,-,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
40188443000172,CSMA SERVICOS DE AUTOMACAO LTDA,CSMA SERVICOS DE AUTOMACAO LTDA,MICRO - ATÉ R$360 MIL/ANO,1,03/1991,80730000,PR,CURITIBA,BIGORRILHO,RUA PADRE ANCHIETA,2454,SL 1007,"-25,4341559","-49,3029222","Ver Mapa<url>https://www.google.com/maps?q=-25.4341559,-49.3029222",acir@csma.com.br,4133367125,-,4133367125,-,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
2146703000158,PASINI&FRANCA CONSULTORES ASSOCIADOS S/C LTDA,-,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,09/1997,80510140,PR,CURITIBA,MERCÊS,RUA SOLIMOES,299,- SOBRADO 03,-,-,-,acirpf@gmail.com,4133406032,-,4133406032,-,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
5897066000140,ANTONIO CARLOS DE MACEDO & CIA. LTDA,ACM INFORMATICA,MICRO - ATÉ R$360 MIL/ANO,1,09/2003,80520440,PR,CURITIBA,BOM RETIRO,RUA ANTONIO DUARTE VELLOSO,63,-,-,-,-,acminformatica@gmail.com,41991058209,41991058209,4133386836,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
